# rho,Press,Temp,cool,heat,tcool
1.04713e-05, 17.3452, 1.24107e08, 3.78018e-23, 0, 1.49894e20
1.07152e-05, 17.3452, 1.21282e08, 3.74553e-23, 0, 1.44473e20
1.09648e-05, 17.3452, 1.18521e08, 3.71119e-23, 0, 1.39247e20
1.12202e-05, 17.3452, 1.15823e08, 3.67716e-23, 0, 1.3421e20
1.14815e-05, 17.3452, 1.13187e08, 3.64345e-23, 0, 1.29356e20
1.1749e-05, 17.3452, 1.1061e08, 3.61005e-23, 0, 1.24677e20
1.20226e-05, 17.3452, 1.08093e08, 3.57695e-23, 0, 1.20167e20
1.23027e-05, 17.3452, 1.05632e08, 3.54416e-23, 0, 1.15821e20
1.25893e-05, 17.3452, 1.03228e08, 3.51166e-23, 0, 1.11631e20
1.28825e-05, 17.3452, 1.00878e08, 3.47947e-23, 0, 1.07593e20
1.31826e-05, 17.3452, 9.85816e07, 3.44757e-23, 0, 1.03702e20
1.34896e-05, 17.3452, 9.63376e07, 3.41596e-23, 0, 9.99507e19
1.38038e-05, 17.3452, 9.41447e07, 3.38464e-23, 0, 9.63354e19
1.41254e-05, 17.3452, 9.20017e07, 3.35361e-23, 0, 9.28508e19
1.44544e-05, 17.3452, 8.99075e07, 3.32287e-23, 0, 8.94923e19
1.47911e-05, 17.3452, 8.78609e07, 3.30229e-23, 0, 8.5997e19
1.51356e-05, 17.3452, 8.5861e07, 3.28667e-23, 0, 8.25169e19
1.54882e-05, 17.3452, 8.39065e07, 3.27157e-23, 0, 7.91668e19
1.58489e-05, 17.3452, 8.19966e07, 3.25653e-23, 0, 7.59527e19
1.62181e-05, 17.3452, 8.01301e07, 3.24157e-23, 0, 7.2869e19
1.65959e-05, 17.3452, 7.83061e07, 3.21701e-23, 0, 7.01206e19
1.69824e-05, 17.3452, 7.65237e07, 3.18796e-23, 0, 6.75749e19
1.7378e-05, 17.3452, 7.47818e07, 3.15873e-23, 0, 6.51307e19
1.77828e-05, 17.3452, 7.30795e07, 3.12977e-23, 0, 6.27749e19
1.8197e-05, 17.3452, 7.14161e07, 3.10108e-23, 0, 6.05042e19
1.86209e-05, 17.3452, 6.97904e07, 3.07265e-23, 0, 5.83157e19
1.90546e-05, 17.3452, 6.82018e07, 3.04448e-23, 0, 5.62064e19
1.94984e-05, 17.3452, 6.66493e07, 3.01657e-23, 0, 5.41733e19
1.99526e-05, 17.3452, 6.51322e07, 2.98891e-23, 0, 5.22138e19
2.04174e-05, 17.3452, 6.36496e07, 2.96151e-23, 0, 5.03252e19
2.0893e-05, 17.3452, 6.22008e07, 2.94317e-23, 0, 4.83596e19
2.13796e-05, 17.3452, 6.07849e07, 2.92924e-23, 0, 4.64027e19
2.18776e-05, 17.3452, 5.94013e07, 2.91579e-23, 0, 4.45188e19
2.23872e-05, 17.3452, 5.80491e07, 2.90239e-23, 0, 4.27113e19
2.29087e-05, 17.3452, 5.67278e07, 2.88905e-23, 0, 4.09773e19
2.34423e-05, 17.3452, 5.54365e07, 2.86717e-23, 0, 3.94317e19
2.39883e-05, 17.3452, 5.41746e07, 2.84127e-23, 0, 3.80002e19
2.45471e-05, 17.3452, 5.29415e07, 2.81522e-23, 0, 3.66257e19
2.51189e-05, 17.3452, 5.17364e07, 2.78941e-23, 0, 3.53009e19
2.5704e-05, 17.3452, 5.05587e07, 2.76384e-23, 0, 3.4024e19
2.63027e-05, 17.3452, 4.94078e07, 2.74673e-23, 0, 3.26951e19
2.69153e-05, 17.3452, 4.82832e07, 2.73373e-23, 0, 3.13721e19
2.75423e-05, 17.3452, 4.71841e07, 2.72117e-23, 0, 3.00984e19
2.81838e-05, 17.3452, 4.61101e07, 2.70867e-23, 0, 2.88764e19
2.88403e-05, 17.3452, 4.50605e07, 2.69622e-23, 0, 2.7704e19
2.95121e-05, 17.3452, 4.40348e07, 2.67579e-23, 0, 2.66591e19
3.01995e-05, 17.3452, 4.30324e07, 2.65163e-23, 0, 2.56913e19
3.0903e-05, 17.3452, 4.20529e07, 2.62732e-23, 0, 2.4762e19
3.16228e-05, 17.3452, 4.10956e07, 2.60323e-23, 0, 2.38663e19
3.23594e-05, 17.3452, 4.01602e07, 2.57937e-23, 0, 2.30031e19
3.31131e-05, 17.3452, 3.9246e07, 2.56339e-23, 0, 2.21046e19
3.38844e-05, 17.3452, 3.83527e07, 2.55127e-23, 0, 2.12101e19
3.46737e-05, 17.3452, 3.74797e07, 2.53954e-23, 0, 2.0349e19
3.54813e-05, 17.3452, 3.66265e07, 2.52787e-23, 0, 1.95228e19
3.63078e-05, 17.3452, 3.57928e07, 2.51626e-23, 0, 1.87302e19
3.71535e-05, 17.3452, 3.49781e07, 2.51223e-23, 0, 1.79159e19
3.80189e-05, 17.3452, 3.41819e07, 2.51189e-23, 0, 1.71119e19
3.89045e-05, 17.3452, 3.34038e07, 2.51189e-23, 0, 1.63418e19
3.98107e-05, 17.3452, 3.26434e07, 2.51189e-23, 0, 1.56063e19
4.0738e-05, 17.3452, 3.19004e07, 2.51189e-23, 0, 1.49039e19
4.16869e-05, 17.3452, 3.11742e07, 2.50435e-23, 0, 1.42759e19
4.2658e-05, 17.3452, 3.04646e07, 2.49319e-23, 0, 1.36944e19
4.36516e-05, 17.3452, 2.97712e07, 2.48174e-23, 0, 1.31384e19
4.46684e-05, 17.3452, 2.90935e07, 2.47033e-23, 0, 1.2605e19
4.57088e-05, 17.3452, 2.84312e07, 2.45898e-23, 0, 1.20933e19
4.67735e-05, 17.3452, 2.77841e07, 2.45505e-23, 0, 1.15675e19
4.7863e-05, 17.3452, 2.71516e07, 2.45471e-23, 0, 1.10484e19
4.89779e-05, 17.3452, 2.65336e07, 2.45471e-23, 0, 1.05511e19
5.01187e-05, 17.3452, 2.59296e07, 2.45471e-23, 0, 1.00762e19
5.12861e-05, 17.3452, 2.53394e07, 2.45471e-23, 0, 9.62274e18
5.24807e-05, 17.3452, 2.47626e07, 2.45471e-23, 0, 9.18964e18
5.37032e-05, 17.3452, 2.41989e07, 2.45471e-23, 0, 8.77604e18
5.49541e-05, 17.3452, 2.36481e07, 2.45471e-23, 0, 8.38105e18
5.62341e-05, 17.3452, 2.31098e07, 2.45471e-23, 0, 8.00384e18
5.7544e-05, 17.3452, 2.25837e07, 2.45471e-23, 0, 7.64361e18
5.88844e-05, 17.3452, 2.20697e07, 2.4621e-23, 0, 7.27768e18
6.0256e-05, 17.3452, 2.15673e07, 2.47313e-23, 0, 6.91914e18
6.16595e-05, 17.3452, 2.10764e07, 2.48454e-23, 0, 6.57737e18
6.30957e-05, 17.3452, 2.05966e07, 2.49601e-23, 0, 6.25248e18
6.45654e-05, 17.3452, 2.01278e07, 2.50753e-23, 0, 5.94364e18
6.60693e-05, 17.3452, 1.96696e07, 2.5267e-23, 0, 5.63307e18
6.76083e-05, 17.3452, 1.92219e07, 2.54973e-23, 0, 5.33095e18
6.91831e-05, 17.3452, 1.87843e07, 2.57332e-23, 0, 5.04434e18
7.07946e-05, 17.3452, 1.83568e07, 2.59713e-23, 0, 4.77314e18
7.24436e-05, 17.3452, 1.79389e07, 2.62116e-23, 0, 4.51652e18
7.4131e-05, 17.3452, 1.75306e07, 2.64542e-23, 0, 4.2737e18
7.58578e-05, 17.3452, 1.71315e07, 2.6699e-23, 0, 4.04394e18
7.76247e-05, 17.3452, 1.67416e07, 2.6946e-23, 0, 3.82652e18
7.94328e-05, 17.3452, 1.63605e07, 2.71953e-23, 0, 3.6208e18
8.12831e-05, 17.3452, 1.59881e07, 2.7447e-23, 0, 3.42613e18
8.31764e-05, 17.3452, 1.56241e07, 2.77845e-23, 0, 3.23218e18
8.51138e-05, 17.3452, 1.52685e07, 2.81672e-23, 0, 3.04477e18
8.70964e-05, 17.3452, 1.49209e07, 2.85591e-23, 0, 2.86784e18
8.91251e-05, 17.3452, 1.45813e07, 2.89564e-23, 0, 2.70119e18
9.12011e-05, 17.3452, 1.42494e07, 2.93592e-23, 0, 2.54422e18
9.33254e-05, 17.3452, 1.3925e07, 2.98576e-23, 0, 2.38915e18
9.54993e-05, 17.3452, 1.3608e07, 3.04085e-23, 0, 2.24028e18
9.77237e-05, 17.3452, 1.32983e07, 3.09739e-23, 0, 2.1004e18
0.0001, 17.3452, 1.29956e07, 3.15497e-23, 0, 1.96926e18
0.000102329, 17.3452, 1.26998e07, 3.21363e-23, 0, 1.8463e18
0.000104713, 17.3452, 1.24107e07, 3.26351e-23, 0, 1.73626e18
0.000107152, 17.3452, 1.21282e07, 3.30936e-23, 0, 1.63514e18
0.000109648, 17.3452, 1.18521e07, 3.3554e-23, 0, 1.54012e18
0.000112202, 17.3452, 1.15823e07, 3.40208e-23, 0, 1.45062e18
0.000114815, 17.3452, 1.13187e07, 3.4494e-23, 0, 1.36633e18
0.00011749, 17.3452, 1.1061e07, 3.47638e-23, 0, 1.29471e18
0.000120226, 17.3452, 1.08093e07, 3.49338e-23, 0, 1.23042e18
0.000123027, 17.3452, 1.05632e07, 3.50951e-23, 0, 1.16964e18
0.000125893, 17.3452, 1.03228e07, 3.52571e-23, 0, 1.11187e18
0.000128825, 17.3452, 1.00878e07, 3.54198e-23, 0, 1.05695e18
0.000131826, 17.3452, 9.85816e06, 3.54765e-23, 0, 1.00776e18
0.000134896, 17.3452, 9.63376e06, 3.54813e-23, 0, 9.62274e17
0.000138038, 17.3452, 9.41447e06, 3.54813e-23, 0, 9.18964e17
0.000141254, 17.3452, 9.20017e06, 3.54813e-23, 0, 8.77604e17
0.000144544, 17.3452, 8.99075e06, 3.54813e-23, 0, 8.38105e17
0.000147911, 17.3452, 8.78609e06, 3.53749e-23, 0, 8.02792e17
0.000151356, 17.3452, 8.5861e06, 3.52173e-23, 0, 7.70093e17
0.000154882, 17.3452, 8.39065e06, 3.50555e-23, 0, 7.38828e17
0.000158489, 17.3452, 8.19966e06, 3.48944e-23, 0, 7.08832e17
0.000162181, 17.3452, 8.01301e06, 3.47341e-23, 0, 6.80053e17
0.000165959, 17.3452, 7.83061e06, 3.44709e-23, 0, 6.54404e17
0.000169824, 17.3452, 7.65237e06, 3.41596e-23, 0, 6.30646e17
0.00017378, 17.3452, 7.47818e06, 3.38464e-23, 0, 6.07835e17
0.000177828, 17.3452, 7.30795e06, 3.35361e-23, 0, 5.85849e17
0.00018197, 17.3452, 7.14161e06, 3.32287e-23, 0, 5.64658e17
0.000186209, 17.3452, 6.97904e06, 3.31222e-23, 0, 5.40977e17
0.000190546, 17.3452, 6.82018e06, 3.31131e-23, 0, 5.16772e17
0.000194984, 17.3452, 6.66493e06, 3.31131e-23, 0, 4.93513e17
0.000199526, 17.3452, 6.51322e06, 3.31131e-23, 0, 4.71301e17
0.000204174, 17.3452, 6.36496e06, 3.31131e-23, 0, 4.50089e17
0.00020893, 17.3452, 6.22008e06, 3.33129e-23, 0, 4.27254e17
